,cid,text,time,author,channel,votes,photo,heart
29,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JuSzZeppdO,தனுஷ் அண்ணா வெறியன்ஸ் எல்லாம் ஒரு லைக் போடுங்கப்பா !!!🖐நண்பா நம்ம சேனல போய் ஒரு வாட்டி பாருங்க ஆதரவு இல்லாம இருக்கேன்😔🙏😉❤️😇🙌,2 months ago,TARVIIN DHANUSH,UC1QN6eO5uABlWDsF6q4A5eA,404,https://yt3.ggpht.com/ytc/AAUvwniITHqXMmamFOK5g-aQr1tLWcn2p-RqYip75yOs=s176-c-k-c0x00ffffff-no-rj,False
30,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9Jw8YwZ_ISF,oonooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooookoooooooooooooooooooooo,2 months ago,Mst Runa,UC0y3qQvc6oCTBRy1-4E4KJw,1,https://yt3.ggpht.com/ytc/AAUvwngI7y46W1UFc3A5OmR_hfZOVTalBjSgX4GPOQ=s176-c-k-c0x00ffffff-no-rj,False
31,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9Jw8XbXTfoq,ooooooooooooooooooooooooooooooooooooooooooooooo,2 months ago,Mst Runa,UC0y3qQvc6oCTBRy1-4E4KJw,1,https://yt3.ggpht.com/ytc/AAUvwngI7y46W1UFc3A5OmR_hfZOVTalBjSgX4GPOQ=s176-c-k-c0x00ffffff-no-rj,False
32,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JvwWUhckGn,Guru thalivaa love you,2 months ago,vicky Lawrence,UC56ti1eWQHMXEdDTrSGK07g,1,https://yt3.ggpht.com/ytc/AAUvwnj_Yz6oxGuCxi5Oqe_EJFk-1QyT2qCZthWIWy-JIw=s176-c-k-c0x00ffffff-no-rj,False
33,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JvvN5hGIwy,👌👌👌👌,2 months ago,SK SARATH KUMAR,UCv69ZT6QvI2oEw0o7JF1Eeg,2,https://yt3.ggpht.com/ytc/AAUvwngL7taGyqrEb-zHhx8o1k2hayEGdd4I2V1CcnnOxw=s176-c-k-c0x00ffffff-no-rj,False
34,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JvhyAGeH2R,🔥🔥🔥🔥🔥,2 months ago,AK AJITH,UCwaio5640ZSzbygmJcAIidw,2,https://yt3.ggpht.com/ytc/AAUvwngex9JkHAxvmCGnd2A-fh3JzL0SaamF67OdovOs=s176-c-k-c0x00ffffff-no-rj,False
35,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JvcFFcbKwa,❤️❤️❤️,2 months ago,JULY PRABU,UC60Jkuvjr1qqNgD5NE3C-ZQ,1,https://yt3.ggpht.com/ytc/AAUvwnjKoLLlvi976B4I_vh3k5DvFYiE8xJxtL_08il7OA=s176-c-k-c0x00ffffff-no-rj,False
36,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JvNNYrSmVr,I got immidiate goosebumps😍,2 months ago,Prakash Venkatesh,UCNW5lBysMtA3vqes4yyhTow,3,https://yt3.ggpht.com/ytc/AAUvwngjdMY_Yw3t9K4DufeacpzatqVdfPAaKnj1EELfzA=s176-c-k-c0x00ffffff-no-rj,False
37,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JuyN97Niyq,Veri thanam thalaivar koola mass,2 months ago,MONSTER GUYS,UC0BtyOtCFalblTB0_unEPzg,2,https://yt3.ggpht.com/ytc/AAUvwngaQ7fXhMl8HLGtZedrPWXLAas5XvLg7vNXGCY2XQ=s176-c-k-c0x00ffffff-no-rj,False
38,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9Juvkd7Ncxg, @harish abi  ooo,2 months ago,dhanush rasigan G sathish,UCCBWw6l9Ecagw7cUjIrDtZA,1,https://yt3.ggpht.com/ytc/AAUvwnib7qqtS-NlYH9WP5VAGV7XBphA9EWQydZxSLXO7g=s176-c-k-c0x00ffffff-no-rj,False
39,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JuscGe64cZ,❤️❤️🔥Selvaraj lyrics is osm 🔥🔥,2 months ago,Nk beatz,UCHwD09cwsAOUkZLTQFB75aA,1,https://yt3.ggpht.com/ytc/AAUvwniVUMAuxhLdFCib0dIwbhw27to-mE-9ax4qsV_M=s176-c-k-c0x00ffffff-no-rj,False
40,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JunM9PQNJh, @Hemanth Sai Reddy  😅,2 months ago,SHyam vFx Studio,UCimsk0p4ipyacyRFGgRU4Mg,1,https://yt3.ggpht.com/ytc/AAUvwni4EYltaHVcjeckeG1uBYFYwWtnwV8KLK8GfaS5OQ=s176-c-k-c0x00ffffff-no-rj,False
41,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JumJD1ZnOG,Yes,2 months ago,all in one leopard YouTube channel,UCshWCmz52TmES5nLMAuhvVQ,2,https://yt3.ggpht.com/ytc/AAUvwnh-uRd53zefDG_tefgyHhPo0FYsbEkTSfsFo9yVUQ=s176-c-k-c0x00ffffff-no-rj,False
42,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JumGdGBWCC,இளையராஜா இசைபோல் உள்ளது,2 months ago,Indraya seiythi Nalaiya varalaru,UCH_O-9kBJgbE-vrS2Gw663g,4,https://yt3.ggpht.com/ytc/AAUvwnhSo4ir6ukWgMTZi5btPtMacrXe4BG6_6-hwQrf=s176-c-k-c0x00ffffff-no-rj,False
43,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JumCIB1uTT,இளையராஜா இசை மாதிரி இருக்கு,2 months ago,Indraya seiythi Nalaiya varalaru,UCH_O-9kBJgbE-vrS2Gw663g,3,https://yt3.ggpht.com/ytc/AAUvwnhSo4ir6ukWgMTZi5btPtMacrXe4BG6_6-hwQrf=s176-c-k-c0x00ffffff-no-rj,False
44,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JulkcZowAH,"கர்ணன் படம் அல்ல சரித்திரம் . 
 தமிழ் சினிமாவே   வியந்து பார்க்கும்  படம் மாக  இருக்கும் இந்த  கர்ணன் ❤️",2 months ago,Coffee Time,UCUmu-_ToZZ-r_Nhz2HKdYrA,4,https://yt3.ggpht.com/ytc/AAUvwnjPiNuglsSRYgZOd9nMmuD-wV50GPrF4tWa-FAV=s176-c-k-c0x00ffffff-no-rj,False
45,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JulQVX4ohy, @TARVIIN DHANUSH  ok bro,2 months ago,Kutti Bala,UC94H4d31Ubu2wfZVmC8VYSQ,1,https://yt3.ggpht.com/ytc/AAUvwnjd-aRvzugv_kgtsoIGZGxxuUYykmG4sflE-g=s176-c-k-c0x00ffffff-no-rj,False
